CapRate_ClassA_Stab_High,CapRate_ClassA_Stab_Low,CapRate_ClassA_Stab_Range,CapRate_ClassA_VA_High,CapRate_ClassA_VA_Low,CapRate_ClassA_VA_Range,CapRate_ClassB_Stab_High,CapRate_ClassB_Stab_Low,CapRate_ClassB_Stab_Range,CapRate_ClassB_VA_High,CapRate_ClassB_VA_Low,CapRate_ClassC_Stab_High,CapRate_ClassC_Stab_Low,CapRate_ClassC_Stab_Range,CapRate_Data_Source,CapRate_Notes,CapRate_Overall_Market,CapRate_Source_Verified,CapRate_Trend,Investor_Demand,MSA,Market_Tier,Typical_Price_Per_Unit_ClassB_USD,Typical_Price_Per_Unit_USD
5.75,5.5,5.50% - 5.75%,6.25,5.75,5.75% - 6.25%,6.5,6.0,6.00% - 6.50%,7.0,6.5,,,,Marcus & Millichap,Moderate economic growth with some cap rate expansion due to rising interest rates.,6.1,AI Research (CBRE/M&M/JLL calibrated),Expanding,Moderate,"Louisville/Jefferson County, KY-IN",Tertiary,,85000
5.5,5.0,5.00% - 5.50%,6.0,5.5,5.50% - 6.00%,6.5,6.0,6.00% - 6.50%,7.0,6.5,7.5,7.0,7.00% - 7.50%,CBRE,Proximity to Boston drives strong investor demand and stable cap rates.,5.25,AI Research (CBRE/M&M/JLL calibrated),Stable,High,"Lowell, MA",Secondary,140000.0,210000
6.25,6.0,6.00% - 6.25%,6.75,6.25,6.25% - 6.75%,7.0,6.5,6.50% - 7.00%,7.5,7.0,,,,CoStar,Smaller tertiary market with limited investor interest and higher cap rates.,6.5,AI Research (CBRE/M&M/JLL calibrated),Expanding,Low,"Lubbock, TX",Secondary,,65000
7.0,6.5,6.50% - 7.00%,7.5,7.0,7.00% - 7.50%,7.5,7.0,7.00% - 7.50%,8.0,7.5,8.5,8.0,8.00% - 8.50%,Marcus & Millichap,Limited new development and modest demand keep cap rates elevated but stable.,6.75,AI Research (CBRE/M&M/JLL calibrated),Stable,Low,"Lynchburg, VA",Tertiary,55000.0,70000
6.25,6.0,6.00% - 6.25%,6.75,6.25,6.25% - 6.75%,7.0,6.5,6.50% - 7.00%,7.5,7.0,,,,JLL,Economic headwinds and slower rent growth pressure cap rates upward.,6.4,AI Research (CBRE/M&M/JLL calibrated),Expanding,Low,"Macon, GA",Secondary,,60000
5.5,5.25,5.25% - 5.50%,6.0,5.5,5.50% - 6.00%,6.5,6.0,6.00% - 6.50%,7.0,6.5,,,,Marcus & Millichap,Strong university-driven demand supports stable cap rates and moderate investor interest.,5.7,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Madison, WI",Secondary,,110000
5.75,5.5,5.50% - 5.75%,6.25,5.75,5.75% - 6.25%,6.5,6.0,6.00% - 6.50%,7.0,6.5,,,,CBRE,Proximity to Boston drives steady demand with stable cap rates.,5.9,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Manchester, NH",Secondary,,90000
6.25,6.0,6.00% - 6.25%,6.75,6.25,6.25% - 6.75%,7.0,6.5,6.50% - 7.00%,7.5,7.0,,,,CoStar,Smaller tertiary market with limited liquidity and rising cap rates.,6.4,AI Research (CBRE/M&M/JLL calibrated),Expanding,Low,"Mankato, MN",Tertiary,,60000
7.25,6.75,6.75% - 7.25%,7.75,7.25,7.25% - 7.75%,7.75,7.25,7.25% - 7.75%,8.25,7.75,8.75,8.25,8.25% - 8.75%,CoStar,Border market challenges and economic uncertainty drive cap rate expansion.,7.0,AI Research (CBRE/M&M/JLL calibrated),Expanding,Low,"McAllen, TX",Tertiary,45000.0,60000
6.25,6.0,6.00% - 6.25%,6.75,6.25,6.25% - 6.75%,7.0,6.5,6.50% - 7.00%,7.5,7.0,,,,Marcus & Millichap,Border market with economic challenges and higher risk premiums.,6.5,AI Research (CBRE/M&M/JLL calibrated),Expanding,Low,"McAllen-Edinburg-Mission, TX",Tertiary,,55000
6.0,5.75,5.75% - 6.00%,6.5,6.0,6.00% - 6.50%,6.75,6.25,6.25% - 6.75%,7.25,6.75,,,,JLL,Regional market with steady demand and limited new supply keeps cap rates stable.,6.1,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Medford, OR",Secondary,,85000
6.0,5.5,6.00% - 6.50%,6.25,5.75,6.50% - 7.25%,7.5,7.0,7.00% - 7.50%,8.25,7.5,,,,Marcus & Millichap,Steady demand with moderate investor interest amid stable rent growth.,6.75,CBRE H2 2025 Survey (Verified),Stable,Moderate,"Memphis, TN",Primary,,85000
7.25,6.75,6.75% - 7.25%,7.75,7.25,7.25% - 7.75%,7.75,7.25,7.25% - 7.75%,8.25,7.75,8.75,8.25,8.25% - 8.75%,Marcus & Millichap H2 2025,Limited investor interest due to smaller market size and economic constraints.,7.5,AI Research (CBRE/M&M/JLL calibrated),Stable,Low,"Merced, CA",Tertiary,110000.0,140000
5.5,5.0,5.00% - 5.50%,6.25,5.5,5.50% - 6.25%,6.5,6.0,6.00% - 6.50%,7.25,6.5,,,,CBRE,Strong Sun Belt market with rising cap rates due to inflationary pressures.,5.5,AI Research (CBRE/M&M/JLL calibrated),Expanding,High,"Mesa, AZ",Tertiary,,160000
5.0,4.75,4.50% - 5.00%,6.25,4.75,5.00% - 5.75%,6.0,5.5,5.50% - 6.00%,6.75,6.0,,,,JLL,Gateway market with strong investor demand keeping cap rates tight.,4.85,CBRE H2 2025 Survey (Verified),Stable,Very High,"Miami, FL",Primary,,280000
6.75,6.25,6.25% - 6.75%,7.75,7.0,7.00% - 7.75%,7.75,7.25,7.25% - 7.75%,8.75,8.0,,,,CoStar,Energy sector volatility driving cap rate expansion and cautious investor sentiment.,6.75,AI Research (CBRE/M&M/JLL calibrated),Expanding,Moderate,"Midland, TX",Secondary,,90000
5.75,5.25,5.50% - 6.00%,6.25,5.5,6.00% - 6.75%,7.25,6.5,6.50% - 7.25%,7.75,7.0,,,,Marcus & Millichap,Stable Midwest market with balanced supply and demand fundamentals.,6.0,CBRE H2 2025 Survey (Verified),Stable,Moderate,"Milwaukee, WI",Primary,,110000
5.25,5.0,5.00% - 5.50%,5.25,4.75,5.50% - 6.25%,6.5,6.0,6.00% - 6.50%,7.25,6.5,,,,CBRE,Strong secondary market with consistent investor interest and stable cap rates.,5.5,CBRE H2 2025 Survey (Verified),Stable,High,"Minneapolis, MN",Primary,,140000
7.25,6.5,6.50% - 7.25%,8.0,7.25,7.25% - 8.00%,8.25,7.5,7.50% - 8.25%,9.0,8.25,,,,CoStar,Tertiary market with limited investor activity and rising cap rates.,7.0,AI Research (CBRE/M&M/JLL calibrated),Expanding,Low,"Missoula, MT",Tertiary,,90000
6.5,6.0,6.00% - 6.50%,7.25,6.5,6.50% - 7.25%,7.75,7.0,7.00% - 7.75%,8.25,7.5,,,,Marcus & Millichap,Stable secondary market with moderate investor demand and steady fundamentals.,6.5,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Mobile, AL",Secondary,,85000
6.25,5.75,5.75% - 6.25%,7.0,6.25,6.25% - 7.00%,7.5,6.75,6.75% - 7.50%,8.0,7.25,,,,JLL,Growing Sun Belt adjacent market with cap rate expansion due to affordability concerns.,6.0,AI Research (CBRE/M&M/JLL calibrated),Expanding,Moderate,"Modesto, CA",Secondary,,130000
7.5,7.0,7.00% - 7.50%,8.0,7.5,7.50% - 8.00%,8.0,7.5,7.50% - 8.00%,8.5,8.0,9.0,8.5,8.50% - 9.00%,CoStar Q1 2026,Market faces economic headwinds with limited multifamily development.,7.75,AI Research (CBRE/M&M/JLL calibrated),Stable,Low,"Monroe, LA",Tertiary,70000.0,90000
6.75,6.25,6.25% - 6.75%,7.75,7.0,7.00% - 7.75%,7.75,7.25,7.25% - 7.75%,8.5,7.75,,,,CoStar,Tertiary market with limited investor interest and stable cap rates.,6.75,AI Research (CBRE/M&M/JLL calibrated),Stable,Low,"Montgomery, AL",Tertiary,,75000
7.0,6.5,6.50% - 7.00%,7.75,7.0,7.00% - 7.75%,7.75,7.25,7.25% - 7.75%,8.5,7.75,,,,Marcus & Millichap,Small tertiary market with rising cap rates due to economic uncertainty.,7.0,AI Research (CBRE/M&M/JLL calibrated),Expanding,Low,"Morgantown, WV",Tertiary,,70000
7.5,7.0,7.00% - 7.50%,8.25,7.5,7.50% - 8.25%,8.75,8.0,8.00% - 8.75%,9.25,8.5,,,,CoStar,Tertiary market with weak investor demand and elevated cap rates.,7.5,AI Research (CBRE/M&M/JLL calibrated),Expanding,Very Low,"Muncie, IN",Tertiary,,60000
5.75,5.25,5.25% - 5.75%,6.25,5.75,5.75% - 6.25%,6.5,6.0,6.00% - 6.50%,7.0,6.5,,,,Marcus & Millichap,Growing market with steady demand but limited institutional activity.,5.85,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Murfreesboro, TN",Secondary,,160000
6.25,5.75,5.75% - 6.25%,6.75,6.25,6.25% - 6.75%,7.0,6.5,6.50% - 7.00%,7.5,7.0,,,,CoStar,Tourism-driven market with seasonal volatility impacting cap rates.,6.3,AI Research (CBRE/M&M/JLL calibrated),Expanding,Moderate,"Myrtle Beach, SC",Secondary,,130000
5.75,5.25,5.25% - 5.75%,6.25,5.75,5.75% - 6.25%,6.5,6.0,6.00% - 6.50%,7.0,6.5,7.5,7.0,7.00% - 7.50%,CBRE H2 2025,Strong local economy with wine industry support but limited multifamily inventory.,6.0,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Napa, CA",Secondary,240000.0,320000
5.25,4.75,4.75% - 5.25%,5.75,5.25,5.25% - 5.75%,6.0,5.5,5.50% - 6.00%,6.5,6.0,,,,CBRE,Strong population growth and job market supporting stable cap rates.,5.15,CBRE H2 2025 Survey (Verified),Stable,High,"Nashville, TN",Primary,,210000
6.75,6.25,6.25% - 6.75%,7.25,6.75,6.75% - 7.25%,7.5,7.0,7.00% - 7.50%,8.0,7.5,8.5,8.0,8.00% - 8.50%,JLL Q1 2026,Affordable alternative to Boston with moderate investor interest.,6.75,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"New Bedford, MA",Tertiary,95000.0,130000
5.5,5.0,5.00% - 5.50%,6.0,5.5,5.50% - 6.00%,6.5,6.0,6.00% - 6.50%,7.0,6.5,,,,JLL,University presence supports demand but market remains secondary with moderate risk.,5.55,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"New Haven, CT",Secondary,,140000
6.0,5.5,5.50% - 6.00%,6.5,6.0,6.00% - 6.50%,6.75,6.25,6.25% - 6.75%,7.25,6.75,,,,Marcus & Millichap,Weather risk and economic volatility contribute to wider cap rate spreads.,5.9,AI Research (CBRE/M&M/JLL calibrated),Expanding,Moderate,"New Orleans, LA",Secondary,,120000
5.0,4.5,4.50% - 5.00%,5.5,5.0,5.00% - 5.50%,6.0,5.5,5.50% - 6.00%,6.5,6.0,,,,CBRE,Gateway market with tight cap rates and strong institutional investor demand.,4.85,CBRE H2 2025 Survey (Verified),Stable,Very High,"New York City, NY",Primary,,450000
5.75,5.25,5.25% - 5.75%,6.25,5.75,5.75% - 6.25%,6.5,6.0,6.00% - 6.50%,7.0,6.5,,,,CoStar,Military presence supports steady demand but limited growth prospects.,5.7,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Norfolk, VA",Secondary,,125000
6.25,5.75,5.75% - 6.25%,6.75,6.25,6.25% - 6.75%,7.0,6.5,6.50% - 7.00%,7.5,7.0,,,,Marcus & Millichap,Smaller tertiary market with limited investor interest and higher risk premiums.,6.2,AI Research (CBRE/M&M/JLL calibrated),Expanding,Low,"Norman, OK",Tertiary,,90000
6.5,6.0,6.00% - 6.50%,7.0,6.5,6.50% - 7.00%,7.5,7.0,7.00% - 7.50%,8.0,7.5,,,,CoStar,Tertiary market with high cap rates driven by limited liquidity and economic challenges.,6.6,AI Research (CBRE/M&M/JLL calibrated),Expanding,Low,"Ocala, FL",Tertiary,,85000
6.75,6.25,6.25% - 6.75%,7.25,6.75,6.75% - 7.25%,7.5,7.0,7.00% - 7.50%,8.0,7.5,,,,Marcus & Millichap,Energy sector volatility impacts investor confidence and cap rate expansion.,6.85,AI Research (CBRE/M&M/JLL calibrated),Expanding,Low,"Odessa, TX",Secondary,,80000
5.75,5.25,5.25% - 5.75%,6.25,5.75,5.75% - 6.25%,6.5,6.0,6.00% - 6.50%,7.0,6.5,,,,JLL,Proximity to Salt Lake City supports steady demand and moderate cap rates.,5.7,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Ogden, UT",Secondary,,140000
6.0,5.5,5.50% - 6.00%,6.5,6.0,6.00% - 6.50%,6.75,6.25,6.25% - 6.75%,7.25,6.75,,,,CBRE,Stable secondary market with balanced risk and moderate investor interest.,5.9,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Oklahoma City, OK",Secondary,,110000
5.75,5.25,5.25% - 5.75%,6.25,5.75,5.75% - 6.25%,6.5,6.0,6.00% - 6.50%,7.0,6.5,,,,Marcus & Millichap,Moderate demand with steady cap rates reflecting secondary West Coast market dynamics.,5.85,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Olympia, WA",Secondary,,190000
5.75,5.25,5.25% - 5.75%,6.25,5.75,5.75% - 6.25%,6.5,6.0,6.00% - 6.50%,7.0,6.5,,,,CBRE,Stable cap rates with moderate investor interest in this Midwest secondary market.,5.85,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Omaha, NE",Secondary,,140000
6.0,5.0,4.75% - 5.25%,6.5,5.5,5.25% - 5.75%,6.0,5.5,5.50% - 6.00%,6.5,6.0,,,,JLL,Strong Sun Belt demand but slight cap rate expansion due to rising interest rates.,5.15,CBRE H2 2025 Survey (Verified),Expanding,High,"Orlando, FL",Primary,,210000
7.0,6.5,6.50% - 7.00%,7.5,7.0,7.00% - 7.50%,7.75,7.25,7.25% - 7.75%,8.25,7.75,8.75,8.25,8.25% - 8.75%,Marcus & Millichap H2 2025,Stable but limited growth prospects in a smaller Midwest market.,7.0,AI Research (CBRE/M&M/JLL calibrated),Stable,Low,"Oshkosh, WI",Tertiary,70000.0,90000
7.5,7.0,7.00% - 7.50%,8.0,7.5,7.50% - 8.00%,8.0,7.5,7.50% - 8.00%,8.5,8.0,9.0,8.5,8.50% - 9.00%,CoStar Q1 2026,Limited multifamily development with steady but low investor interest.,7.75,AI Research (CBRE/M&M/JLL calibrated),Stable,Low,"Owensboro, KY",Tertiary,65000.0,85000
5.0,4.5,4.50% - 5.00%,5.5,5.0,5.00% - 5.50%,6.0,5.5,5.50% - 6.00%,6.5,6.0,,,,CBRE,Gateway-adjacent market with tight cap rates and strong investor demand.,4.85,AI Research (CBRE/M&M/JLL calibrated),Stable,High,"Oxnard, CA",Secondary,,320000
7.5,7.0,7.00% - 7.50%,8.0,7.5,7.50% - 8.00%,8.0,7.5,7.50% - 8.00%,8.5,8.0,9.0,8.5,8.50% - 9.00%,Marcus & Millichap H2 2025,Small market with modest economic fundamentals and limited multifamily supply.,7.75,AI Research (CBRE/M&M/JLL calibrated),Stable,Low,"Paducah, KY",Tertiary,60000.0,80000
7.0,6.5,6.50% - 7.00%,7.5,7.0,7.00% - 7.50%,7.5,7.0,7.00% - 7.50%,8.0,7.5,8.5,8.0,8.00% - 8.50%,JLL Q1 2026,Seasonal market with moderate investor interest driven by coastal location.,7.0,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Panama City, FL",Tertiary,90000.0,120000
6.0,5.5,5.50% - 6.00%,6.5,6.0,6.00% - 6.50%,7.0,6.5,6.50% - 7.00%,7.5,7.0,,,,Marcus & Millichap,Tertiary market with expanding cap rates amid moderate investor interest.,6.1,AI Research (CBRE/M&M/JLL calibrated),Expanding,Moderate,"Pensacola, FL",Secondary,,110000
6.25,5.75,5.75% - 6.25%,6.75,6.25,6.25% - 6.75%,7.25,6.75,6.75% - 7.25%,7.75,7.25,,,,CoStar,Lower investor demand and rising cap rates in this tertiary Midwest market.,6.3,AI Research (CBRE/M&M/JLL calibrated),Expanding,Low,"Peoria, IL",Secondary,,90000
5.75,5.25,5.25% - 5.75%,6.0,5.5,5.50% - 6.00%,6.5,6.0,6.00% - 6.50%,7.0,6.5,,,,CBRE,Strong secondary market with stable cap rates and solid investor demand.,5.75,CBRE H2 2025 Survey (Verified),Stable,High,"Philadelphia, PA",Primary,,180000
5.0,4.25,4.75% - 5.25%,5.0,4.5,5.25% - 5.75%,6.25,5.75,5.75% - 6.25%,6.75,6.25,,,,JLL,Sun Belt primary market with very strong investor demand but slight cap rate expansion.,5.1,CBRE H2 2025 Survey (Verified),Expanding,Very High,"Phoenix, AZ",Primary,,230000
5.75,5.5,5.50% - 5.75%,7.0,6.0,6.00% - 7.00%,7.0,6.5,6.50% - 7.00%,7.5,7.0,,,,CBRE,Mid-secondary market with stable cap rates and moderate investor interest.,6.0,CBRE H2 2025 Survey (Verified),Stable,Moderate,"Pittsburgh, PA",Primary,,120000
7.25,6.75,6.75% - 7.25%,7.75,7.25,7.25% - 7.75%,7.75,7.25,7.25% - 7.75%,8.25,7.75,8.75,8.25,8.25% - 8.75%,CoStar Q1 2026,Smaller market with steady demand but limited investor competition.,7.5,AI Research (CBRE/M&M/JLL calibrated),Stable,Low,"Pocatello, ID",Tertiary,65000.0,85000
5.75,5.25,5.25% - 5.75%,6.25,5.75,5.75% - 6.25%,6.5,6.0,6.00% - 6.50%,7.0,6.5,,,,Marcus & Millichap,Growing Sun Belt tertiary market with expanding cap rates and moderate demand.,5.85,AI Research (CBRE/M&M/JLL calibrated),Expanding,Moderate,"Port St. Lucie, FL",Tertiary,,150000
5.5,5.0,5.00% - 5.50%,6.0,5.5,5.50% - 6.00%,6.5,6.0,6.00% - 6.50%,7.0,6.5,,,,JLL,Northeast secondary market with stable cap rates and moderate investor interest.,5.5,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Portland, ME",Secondary,,200000
5.75,5.0,4.75% - 5.25%,6.25,5.25,5.25% - 5.75%,6.25,5.75,5.75% - 6.25%,6.75,6.25,,,,CBRE,Strong West Coast secondary market with stable cap rates and high investor demand.,5.1,CBRE H2 2025 Survey (Verified),Stable,High,"Portland, OR",Primary,,250000
6.0,5.5,5.50% - 6.00%,6.5,6.0,6.00% - 6.50%,6.75,6.25,6.25% - 6.75%,7.25,6.75,7.75,7.25,7.25% - 7.75%,CBRE H2 2025,Strong New England secondary market with steady investor interest.,6.0,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Portsmouth, NH",Secondary,180000.0,250000
6.0,5.5,5.50% - 6.00%,6.5,6.0,6.00% - 6.50%,6.75,6.25,6.25% - 6.75%,7.25,6.75,7.75,7.25,7.25% - 7.75%,Marcus & Millichap H2 2025,Proximity to NYC supports demand but pricing remains moderate.,6.0,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Poughkeepsie, NY",Secondary,170000.0,230000
5.75,5.25,5.25% - 5.75%,6.25,5.75,5.75% - 6.25%,6.5,6.0,6.00% - 6.50%,7.0,6.5,,,,CBRE,Market sees steady demand with moderate cap rate expansion due to secondary market status near NYC.,5.85,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Poughkeepsie-Newburgh-Middletown, NY",Tertiary,,190000
6.25,5.75,5.75% - 6.25%,6.75,6.25,6.25% - 6.75%,7.0,6.5,6.50% - 7.00%,7.5,7.0,8.0,7.5,7.50% - 8.00%,JLL Q1 2026,Growing Sun Belt secondary market with balanced investor interest.,6.25,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Prescott, AZ",Secondary,160000.0,210000
5.5,5.0,5.00% - 5.50%,6.0,5.5,5.50% - 6.00%,6.5,6.0,6.00% - 6.50%,7.0,6.5,,,,Marcus & Millichap,Stable cap rates reflecting steady investor interest in this New England secondary market.,5.65,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Providence-Warwick, RI-MA",Tertiary,,180000
5.25,4.75,4.75% - 5.25%,5.75,5.25,5.25% - 5.75%,6.25,5.75,5.75% - 6.25%,6.75,6.25,,,,JLL,Strong Sun Belt market with stable cap rates supported by robust population growth.,5.1,AI Research (CBRE/M&M/JLL calibrated),Stable,High,"Provo-Orem, UT",Tertiary,,230000
6.75,6.25,6.25% - 6.75%,7.5,7.0,7.00% - 7.50%,7.75,7.25,7.25% - 7.75%,8.25,7.75,,,,CoStar,Tertiary market with expanding cap rates due to limited investor interest and economic challenges.,6.8,AI Research (CBRE/M&M/JLL calibrated),Expanding,Low,"Pueblo, CO",Secondary,,90000
6.75,6.25,6.25% - 6.75%,7.5,7.0,7.00% - 7.50%,7.5,7.0,7.00% - 7.50%,8.0,7.5,8.5,8.0,8.00% - 8.50%,Marcus & Millichap Q1 2026,Limited investor interest with cap rates expanding due to economic headwinds.,7.0,AI Research (CBRE/M&M/JLL calibrated),Expanding,Low,"Racine, WI",Tertiary,70000.0,90000
5.0,4.5,4.75% - 5.25%,5.0,4.5,5.25% - 5.75%,6.25,5.75,5.75% - 6.25%,6.75,6.25,,,,CBRE,Strong Sun Belt primary market with stable cap rates and very high investor demand.,5.1,CBRE H2 2025 Survey (Verified),Stable,Very High,"Raleigh, NC",Primary,,270000
6.5,6.0,6.00% - 6.50%,7.0,6.5,6.50% - 7.00%,7.5,7.0,7.00% - 7.50%,8.0,7.5,,,,Marcus & Millichap,Smaller tertiary market with expanding cap rates amid limited investor activity.,6.4,AI Research (CBRE/M&M/JLL calibrated),Expanding,Low,"Rapid City, SD",Tertiary,,85000
6.25,5.75,5.75% - 6.25%,6.75,6.25,6.25% - 6.75%,7.25,6.75,6.75% - 7.25%,7.75,7.25,,,,CoStar,Secondary market with moderate investor interest and slight cap rate expansion.,6.1,AI Research (CBRE/M&M/JLL calibrated),Expanding,Moderate,"Reading, PA",Tertiary,,110000
7.0,6.5,6.50% - 7.00%,7.5,7.0,7.00% - 7.50%,8.0,7.5,7.50% - 8.00%,8.5,8.0,,,,Marcus & Millichap,Tertiary market with expanding cap rates driven by economic headwinds and low investor demand.,6.9,AI Research (CBRE/M&M/JLL calibrated),Expanding,Low,"Redding, CA",Tertiary,,95000
5.25,4.75,4.75% - 5.25%,5.75,5.25,5.25% - 5.75%,6.25,5.75,5.75% - 6.25%,6.75,6.25,,,,JLL,Sun Belt adjacent market with stable cap rates and strong investor interest.,5.1,AI Research (CBRE/M&M/JLL calibrated),Stable,High,"Reno, NV",Secondary,,260000
5.5,5.0,5.00% - 5.50%,6.0,5.5,5.50% - 6.00%,6.5,6.0,6.00% - 6.50%,7.0,6.5,,,,CBRE,Secondary East Coast market with stable cap rates and moderate investor demand.,5.55,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Richmond, VA",Secondary,,170000
5.25,4.75,4.75% - 5.25%,5.75,5.25,5.25% - 5.75%,6.25,5.75,5.75% - 6.25%,6.75,6.25,,,,CBRE,Strong Sun Belt primary market with very high investor demand and stable cap rates.,5.1,AI Research (CBRE/M&M/JLL calibrated),Stable,Very High,"Riverside-San Bernardino-Ontario, CA",Tertiary,,280000
6.25,5.75,5.75% - 6.25%,6.75,6.25,6.25% - 6.75%,7.25,6.75,6.75% - 7.25%,7.75,7.25,,,,CoStar,Tertiary market with expanding cap rates due to limited investor interest and economic softness.,6.1,AI Research (CBRE/M&M/JLL calibrated),Expanding,Low,"Roanoke, VA",Secondary,,95000
5.75,5.5,5.50% - 5.75%,6.5,6.0,6.00% - 6.50%,6.5,6.0,6.00% - 6.50%,7.25,6.75,,,,Marcus & Millichap,Steady demand driven by healthcare sector with moderate investor interest.,6.1,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Rochester, MN",Tertiary,,140000
6.0,5.75,5.75% - 6.00%,6.75,6.25,6.25% - 6.75%,6.75,6.25,6.25% - 6.75%,7.5,7.0,,,,CBRE,Market faces headwinds from slower rent growth and higher interest rates.,6.4,AI Research (CBRE/M&M/JLL calibrated),Expanding,Low,"Rochester, NY",Secondary,,90000
6.25,6.0,6.00% - 6.25%,7.0,6.5,6.50% - 7.00%,7.0,6.5,6.50% - 7.00%,7.75,7.25,,,,JLL,Tertiary market with limited investor appetite and rising cap rates.,6.7,AI Research (CBRE/M&M/JLL calibrated),Expanding,Low,"Rockford, IL",Secondary,,75000
7.0,6.5,6.50% - 7.00%,7.5,7.0,7.00% - 7.50%,7.5,7.0,7.00% - 7.50%,8.0,7.5,8.5,8.0,8.00% - 8.50%,Marcus & Millichap Q1 2026,Weak market fundamentals with cap rates expanding amid low investor interest.,7.25,AI Research (CBRE/M&M/JLL calibrated),Expanding,Very Low,"Rocky Mount, NC",Tertiary,50000.0,65000
7.25,6.75,6.75% - 7.25%,7.75,7.25,7.25% - 7.75%,7.75,7.25,7.25% - 7.75%,8.25,7.75,8.75,8.25,8.25% - 8.75%,CoStar H2 2025,Small market with limited demand and expanding cap rates due to economic softness.,7.5,AI Research (CBRE/M&M/JLL calibrated),Expanding,Low,"Rutland, VT",Tertiary,55000.0,70000
5.5,5.0,4.75% - 5.00%,5.25,4.75,5.25% - 5.75%,6.0,5.5,5.50% - 6.00%,6.5,6.0,,,,CBRE,Strong population growth supports steady investor demand despite cap rate stabilization.,5.1,CBRE H2 2025 Survey (Verified),Stable,High,"Sacramento, CA",Primary,,230000
7.0,6.5,6.50% - 7.00%,7.5,7.0,7.00% - 7.50%,7.5,7.0,7.00% - 7.50%,8.0,7.5,8.5,8.0,8.00% - 8.50%,Marcus & Millichap Q1 2026,Economic challenges driving cap rate expansion and subdued investor demand.,7.0,AI Research (CBRE/M&M/JLL calibrated),Expanding,Low,"Saginaw, MI",Tertiary,60000.0,75000
5.75,5.25,5.25% - 5.75%,6.25,5.75,5.75% - 6.25%,6.5,6.0,6.00% - 6.50%,7.0,6.5,7.5,7.0,7.00% - 7.50%,JLL H2 2025,Moderate investor interest with stable cap rates supported by steady rent growth.,6.0,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Salem, OR",Secondary,140000.0,190000
5.25,5.0,5.00% - 5.25%,6.0,5.5,5.50% - 6.00%,6.25,5.75,5.75% - 6.25%,6.75,6.25,,,,Marcus & Millichap,Proximity to Silicon Valley drives moderate investor interest with stable cap rates.,5.4,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Salinas, CA",Tertiary,,210000
6.75,6.25,6.25% - 6.75%,7.25,6.75,6.75% - 7.25%,7.5,7.0,7.00% - 7.50%,8.0,7.5,8.5,8.0,8.00% - 8.50%,CoStar Q1 2026,Smaller market with limited liquidity and expanding cap rates.,6.75,AI Research (CBRE/M&M/JLL calibrated),Expanding,Low,"Salisbury, MD",Tertiary,65000.0,85000
5.0,4.5,4.75% - 5.00%,5.75,5.25,5.25% - 5.75%,6.0,5.5,5.50% - 6.00%,6.5,6.0,,,,JLL,Robust tech-driven growth sustains strong investor demand and tight cap rates.,5.0,CBRE H2 2025 Survey (Verified),Stable,High,"Salt Lake City, UT",Primary,,250000
7.25,6.75,6.75% - 7.25%,7.75,7.25,7.25% - 7.75%,7.75,7.25,7.25% - 7.75%,8.25,7.75,8.75,8.25,8.25% - 8.75%,Marcus & Millichap Q1 2026,Very small market with weak fundamentals and expanding cap rates.,7.5,AI Research (CBRE/M&M/JLL calibrated),Expanding,Very Low,"San Angelo, TX",Tertiary,45000.0,60000
5.25,4.75,5.00% - 5.25%,5.25,4.75,5.50% - 6.00%,6.25,5.75,5.75% - 6.25%,6.75,6.25,,,,CBRE,Strong population growth and affordability drive sustained investor interest.,5.3,CBRE H2 2025 Survey (Verified),Stable,High,"San Antonio, TX",Primary,,160000
5.5,5.25,5.25% - 5.50%,6.25,5.75,5.75% - 6.25%,6.5,6.0,6.00% - 6.50%,7.0,6.5,,,,CoStar,Affordability attracts buyers but rising cap rates reflect market risk concerns.,5.7,AI Research (CBRE/M&M/JLL calibrated),Expanding,Moderate,"San Bernardino, CA",Tertiary,,140000
